GHS_NUM;GHS_CMD;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EXB_FOR;EXB_PRI;MED_SUS_TAU;DMI_SUS_TAU;MED_CMD_TAU;DMI_CMD_TAU;TAR_IND;TAR_COE
2866;;08C441;;3;1402.44;141.44;;;;;;;;
2867;;08C442;3;16;3851.15;97.87;2448.71;;;;;;;
2868;;08C443;5;30;5221.26;324.90;1370.11;;;;;;;
2869;;08C444;;;7520.87;;;;;;;;;
2870;;08C44J;;;1402.44;;;;;;;;;
2871;;08C451;;3;1385.13;118.86;;;;;;;;
2872;;08C452;3;16;2930.26;325.58;1545.12;;;;;;;
2873;;08C453;;;3972.76;;;;;;;;;
2874;;08C454;;;5722.48;;;;;;;;;
2875;;08C45J;;;1385.13;;;;;;;;;
2876;;08C461;;5;1760.18;107.88;;;;;;;;
2877;;08C462;5;28;5982.76;82.64;4222.58;;;;;;;
2878;;08C463;9;51;8112.17;77.67;2129.42;;;;;;;
2879;;08C464;16;97;11685.01;223.73;3572.83;;;;;;;
2880;;08C46J;;;1059.53;;;;;;;;;
2881;;08C471;5;30;5622.58;138.53;;1124.52;;;;;;
2882;;08C472;6;34;6176.69;147.76;554.12;;;;;;;
2883;;08C473;7;38;7007.50;134.44;830.81;;;;;;;
2884;;08C474;9;56;9427.48;315.23;2419.98;;;;;;;
2885;;08C481;4;24;5505.01;162.95;;1376.25;;;;;;
2886;;08C482;5;28;6258.88;158.86;753.87;;;;;;;
2887;;08C483;6;34;7247.38;157.00;988.50;;;;;;;
2888;;08C484;9;53;10230.43;359.64;2983.05;;;;;;;
2889;;08C491;4;22;5351.58;116.26;;1337.90;;;;;;
2890;;08C492;6;33;6630.40;155.36;1278.81;;;;;;;
2891;;08C493;8;49;9948.28;115.73;3317.88;;;;;;;
2892;;08C494;12;70;12378.63;329.54;2430.36;;;;;;;
2893;;08C501;3;17;4630.81;118.04;;1543.60;;;;;;
2894;;08C502;6;36;7768.54;89.18;3137.73;;;;;;;
2895;;08C503;11;67;10533.02;201.78;2764.48;;;;;;;
2896;;08C504;15;90;15174.00;313.71;4640.98;;;;;;;
2897;;08C511;5;26;8864.30;248.04;;1772.86;;;;;;
2898;;08C512;6;35;11202.82;245.79;2338.52;;;;;;;
2899;;08C513;9;53;15797.48;239.91;4594.66;;;;;;;
2900;;08C514;14;82;22754.73;520.27;6957.25;;;;;;;
2901;;08C521;4;20;7602.14;166.22;;1900.54;;;;;;
2902;;08C522;6;31;9430.54;247.26;1828.40;;;;;;;
2903;;08C523;10;60;16601.16;271.58;7170.62;;;;;;;
2904;;08C524;15;87;23933.78;511.22;7332.62;;;;;;;
2905;;08C531;3;15;3771.36;124.26;;1257.12;;;;;;
2906;;08C532;5;27;5262.49;190.74;1491.12;;;;;;;
2907;;08C533;6;37;7169.88;210.79;1907.39;;;;;;;
2908;;08C534;9;52;10331.70;367.07;3161.82;;;;;;;
2909;;08C541;2;12;3205.00;237.02;2537.75;;;;;;;
2910;;08C542;5;25;6592.62;214.22;3387.62;;;;;;;
2911;;08C543;6;36;8948.99;233.75;2356.38;;;;;;;
2912;;08C544;9;53;12922.79;450.15;3973.79;;;;;;;
2913;;08C54J;;;667.25;;;;;;;;;
2914;;08C551;3;17;3433.57;130.24;;1144.52;;;;;;
2915;;08C552;5;30;7036.84;74.06;3603.27;;;;;;;
2916;;08C553;11;64;9554.83;275.81;2517.99;;;;;;;
2917;;08C554;;;13763.06;;;;;;;;;
2918;;08C561;3;18;3751.34;132.38;;1250.45;;;;;;
2922;;08C561;3;18;4211.26;148.61;;1403.75;;;;;;
2919;;08C562;8;48;7722.82;173.08;3971.48;;;;;;;
2923;;08C562;8;48;8669.64;194.30;4458.38;;;;;;;
2920;;08C563;10;61;9973.84;173.03;2251.02;;;;;;;
2924;;08C563;10;61;11196.63;194.24;2527.00;;;;;;;
2921;;08C564;14;81;13434.44;307.94;3460.60;;;;;;;
2925;;08C564;14;81;15081.50;345.70;3884.87;;;;;;;
3028;;08K02J;;;860.72;;;;;;;;;
3029;;08K031;2;8;2032.61;157.80;;1016.31;;;;;;
3030;;08K032;5;28;5188.52;336.71;3155.91;;;;;;;
3031;;08K033;;;6964.09;;;;;;;;;
3032;;08K034;;;10979.86;;;;;;;;;
3033;;08K041;4;23;3839.51;291.10;;959.88;;;;;;
3034;;08K042;7;42;9800.89;258.00;5961.38;;;;;;;
3035;;08K043;9;55;13154.86;442.00;3353.96;;;;;;;
3036;;08K044;;;20740.47;;;;;;;;;
3037;;08M041;3;18;3127.32;151.65;2421.67;;;;;;;
3038;;08M042;5;29;5027.94;122.59;1900.62;;;;;;;
3039;;08M043;7;37;6008.69;183.12;980.75;;;;;;;
3040;;08M044;9;53;8938.66;316.15;2929.97;;;;;;;
3041;;08M04T;;;705.64;;;;;;;;;
3042;;08M051;;4;1497.81;190.99;;;;;;;;
3043;;08M052;4;24;5813.84;145.89;4316.02;;;;;;;
3044;;08M053;6;35;7418.64;278.27;1604.81;;;;;;;
3045;;08M054;8;48;11036.12;428.13;3617.48;;;;;;;
3046;;08M061;;3;1091.06;144.52;;;;;;;;
3047;;08M062;3;17;3114.35;332.12;2023.29;;;;;;;
3048;;08M063;;;4322.13;;;;;;;;;
3049;;08M064;;;6429.68;;;;;;;;;
3050;;08M071;;4;1027.45;125.91;;;;;;;;
3051;;08M072;4;22;3293.89;158.88;2266.44;;;;;;;
3052;;08M073;5;29;4406.01;214.85;1112.13;;;;;;;
3053;;08M074;7;39;6554.47;308.66;2148.46;;;;;;;
3054;;08M081;;4;1677.48;119.65;;;;;;;;
3055;;08M082;4;30;4788.26;291.41;3110.77;;;;;;;
3056;;08M083;;;6645.20;;;;;;;;;
3057;;08M084;;;9885.53;;;;;;;;;
3058;;08M091;2;9;1998.27;136.91;1016.20;;;;;;;
3059;;08M092;4;22;3778.15;183.15;1779.88;;;;;;;
3060;;08M093;5;30;5243.36;196.67;1465.21;;;;;;;
3061;;08M094;8;43;7800.12;332.65;2556.76;;;;;;;
3062;;08M09T;;;982.06;;;;;;;;;
3063;;08M101;2;8;1709.99;137.41;883.57;;;;;;;
3064;;08M102;4;22;3633.75;139.40;1923.76;;;;;;;
3065;;08M103;6;31;4888.33;153.01;1254.57;;;;;;;
3066;;08M104;7;40;6265.38;286.68;1377.06;;;;;;;
3067;;08M10T;;;826.42;;;;;;;;;
3068;;08M141;2;8;1804.07;157.15;1103.08;;;;;;;
3069;;08M142;4;23;4161.28;194.79;2357.21;;;;;;;
3070;;08M143;6;35;6548.30;192.31;2387.02;;;;;;;
3071;;08M144;9;55;10394.48;354.33;3846.18;;;;;;;
3072;;08M14T;;;700.99;;;;;;;;;
3073;;08M151;;;878.98;;;;;;;;;
3074;;08M152;3;21;3525.72;139.68;2646.74;;;;;;;
3075;;08M153;5;29;4689.38;134.54;1163.66;;;;;;;
3076;;08M154;7;38;5900.27;287.54;1210.89;;;;;;;
3077;;08M181;;4;1151.31;135.41;;;;;;;;
3078;;08M182;4;19;3182.45;176.31;2031.14;;;;;;;
3079;;08M183;5;26;4416.64;239.29;1234.19;;;;;;;
3080;;08M184;6;35;6570.28;345.01;2153.64;;;;;;;
3081;;08M191;;;924.36;;;;;;;;;
3082;;08M192;3;30;4621.01;45.91;3696.65;;;;;;;
3083;;08M193;6;43;5217.78;283.09;596.77;;;;;;;
3084;;08M194;9;52;7765.63;278.21;2547.85;;;;;;;
3085;;08M201;;;990.03;;;;;;;;;
3086;;08M202;3;13;2825.99;379.61;1835.96;;;;;;;
3087;;08M203;;;3921.93;;;;;;;;;
3088;;08M204;;;5834.34;;;;;;;;;
3089;;08M211;;;966.49;;;;;;;;;
3090;;08M212;3;19;2759.04;178.33;1792.55;;;;;;;
3091;;08M213;5;25;3829.02;281.43;1069.98;;;;;;;
3092;;08M214;;;5696.13;;;;;;;;;
3093;;08M221;;;888.95;;;;;;;;;
