GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI
0629;03C062;0;17;4909.64;523.16;0.00;0.00
0630;03C063;0;0;11749.84;0.00;0.00;0.00
0631;03C064;0;0;21526.05;0.00;0.00;0.00
0632;03C06J;0;0;785.38;0.00;0.00;0.00
0633;03C071;0;5;2018.22;175.86;0.00;0.00
0634;03C072;0;15;3776.82;239.18;0.00;0.00
0635;03C073;4;37;9038.77;250.68;5261.94;0.00
0636;03C074;7;67;16559.29;459.72;7520.53;0.00
0637;03C07J;0;0;1175.56;0.00;0.00;0.00
0638;03C091;0;5;1821.13;442.47;0.00;0.00
0639;03C092;0;11;4475.94;738.69;0.00;0.00
0640;03C093;0;0;10711.90;0.00;0.00;0.00
0641;03C094;0;0;19624.53;0.00;0.00;0.00
0642;03C09J;0;0;1325.42;0.00;0.00;0.00
0643;03C101;0;0;587.56;0.00;0.00;0.00
0644;03C102;0;12;2992.31;443.31;0.00;0.00
0645;03C103;0;0;7161.26;0.00;0.00;0.00
0646;03C104;0;0;13119.65;0.00;0.00;0.00
0647;03C111;0;5;1248.54;260.01;0.00;0.00
0648;03C112;0;12;3068.64;478.00;0.00;0.00
0649;03C113;0;0;7343.94;0.00;0.00;0.00
0650;03C114;0;0;13454.32;0.00;0.00;0.00
0651;03C121;0;4;1290.10;170.97;0.00;0.00
0652;03C122;0;15;3170.72;392.38;0.00;0.00
0653;03C123;0;0;7588.23;0.00;0.00;0.00
0654;03C124;0;0;13901.86;0.00;0.00;0.00
0655;03C131;2;6;1755.73;426.58;0.00;292.62
0656;03C132;0;12;4315.20;674.25;0.00;0.00
0657;03C133;0;0;10327.23;0.00;0.00;0.00
0658;03C134;0;0;18919.80;0.00;0.00;0.00
0659;03C141;0;3;601.56;114.55;0.00;0.00
0660;03C142;0;0;3015.50;0.00;0.00;0.00
0661;03C143;0;0;7216.75;0.00;0.00;0.00
0662;03C144;0;0;13221.30;0.00;0.00;0.00
0663;03C14J;0;0;601.56;0.00;0.00;0.00
0664;03C151;0;5;631.05;412.35;0.00;0.00
0665;03C152;0;0;2740.08;0.00;0.00;0.00
0666;03C153;0;0;6557.62;0.00;0.00;0.00
0667;03C154;0;0;12013.75;0.00;0.00;0.00
0668;03C15J;0;0;631.05;0.00;0.00;0.00
0669;03C161;2;7;2325.06;211.36;0.00;639.39
