COD_RES;RES_LIB;TEC_COL
40260;CASTETS;0
40270;GRENADE SUR L ADOUR;0
40280;ST PIERRE DU MONT;0
40290;HABAS;0
40300;PEYREHORADE;0
40310;GABARRET;0
40320;GEAUNE;0
40330;AMOU;0
40350;POUILLON;0
40360;POMAREZ;0
40410;PISSOS;0
41000;BLOIS;0
41100;VENDOME;0
41140;NOYERS SUR CHER;0
41170;MONDOUBLEAU;0
41210;NEUNG SUR BEUVRON;0
41230;MUR DE SOLOGNE;0
41270;DROUE;0
41600;LAMOTTE BEUVRON;0
42000;ST ETIENNE;0
42130;BOEN;0
42150;LA RICAMARIE;0
42155;POUILLY LES NONAINS;0
42190;CHARLIEU;0
42220;BOURG ARGENTAL;0
42240;UNIEUX;0
42260;ST GERMAIN LAVAL;0
42290;SORBIERS;0
42310;LA PACAUDIERE;0
42350;LA TALAUDIERE;0
42570;ST HEAND;0
42810;PANISSIERES;0
43000;LE PUY EN VELAY;0
43110;AUREC SUR LOIRE;0
43130;RETOURNAC;0
43160;LA CHAISE DIEU;0
43190;TENCE;0
43210;BAS EN BASSET;0
43230;PAULHAGUET;0
43250;STE FLORINE;0
43300;LANGEAC;0
43700;BRIVES CHARENSAC;0
44000;NANTES;0
44116;VIEILLEVIGNE;0
44119;TREILLIERES;0
44140;MONTBERT;0
44150;ANCENIS;0
44170;NOZAY;0
44210;PORNIC;0
44370;VARADES;0
44522;ANCENIS;0
44700;ORVAULT;0
45000;ORLEANS;0
45110;CHATEAUNEUF SUR LOIRE;0
45130;MEUNG SUR LOIRE;0
45150;JARGEAU;0
45170;NEUVILLE AUX BOIS;0
45200;MONTARGIS;0
45220;CHATEAU RENARD;0
45240;LA FERTE ST AUBIN;0
45270;BELLEGARDE;0
45290;NOGENT SUR VERNISSON;0
45320;COURTENAY;0
45370;MEUNG SUR LOIRE;0
45570;OUZOUER SUR LOIRE;0
46000;CAHORS;0
46090;CAHORS;0
46110;VAYRAC;0
46150;CATUS;0
46190;SOUSCEYRAC;0
46220;PRAYSSAC;0
46260;LIMOGNE EN QUERCY;0
46300;GOURDON;0
46330;CABRERETS;0
46800;MONTCUQ;0
47000;AGEN;0
47110;STE LIVRADE SUR LOT;0
47120;DURAS;0
47130;PORT STE MARIE;0
47140;PENNE D AGENAIS;0
47150;MONFLANQUIN;0
47160;DAMAZAN;0
47170;MEZIN;0
47180;MARMANDE;0
47190;AIGUILLON;0
47200;MARMANDE;0
47210;VILLEREAL;0
47220;ASTAFFORT;0
47230;LAVARDAC;0
47240;BON ENCONTRE;0
47250;BOUGLON;0
47260;CASTELMORON SUR LOT;0
47270;PUYMIROL;0
47290;CANCON;0
47300;VILLENEUVE SUR LOT;0
47310;LAPLUME;0
47320;CLAIRAC;0
47330;CASTILLONNES;0
47340;LAROQUE TIMBAUT;0
47350;SEYCHES;0
47360;PRAYSSAS;0
47370;TOURNON D AGENAIS;0
