ATT_ELE_MAT;ATT_ELD_MAT;ATT_ELP_MAT;ATT_ELD_LIB;TEC_COL
27;04;01;ENGINS D'EXCAVATION ET DE TRANSPORT COMBINES (SCRAPERS DE TOUS ODELES TRACTES OU AUTOMOTEURS);0
27;05;01;RACLEURS A CABLES (SLACKLINES, SCRAPERS A CABLE) SCRAPERETTES;0
27;06;01;REFOULEURS ET NIVELEURS A LAME FIXE OU ORIENTABLE (DOZERS, GRADERS).APPELES EGALEMENT BULLDOZERS ET ANGLEDOZERS, NIVELEUSES, CHASSE-NEIGE;0
27;07;01;EXCAVATEURS A GODET UNIQUE - PELLES MECANIQUES;0
27;08;01;EXCAVATEURS A GODETS MULTIPLES, (DRAGUES, EXCAVATEURS);0
27;09;01;DESAGREGEURS, SCARIFICATEURS (RIPPERS, CHARRUES);0
27;10;01;PELLETEUSES ET AUTRES APPAREILS DE CHARGEMENT (EUCLID, EIMCO, LOADERS...) SPECIFIQUES DES TRAVAUX DE TERRASSEMENT ET NE FIGURANT PAS A LA RUBRIQUE 06 APP. DE LEVAGE. - CHOULEURS.;0
27;11;01;DAMEURS ET COMPACTEURS (CYLINDRES, PIEDS DE MOUTON);0
27;12;01;GOUDRONNEUSES, EPANDEUSES ET AUTRES ENGINS POUR TRAVAUX ROUTIERS, PISTES ET AERODROMES;0
27;13;01;APPAREILS DE TRANSLATION ET DE MISE EN OEUVRE DU BETON (POMPES A BETON,VIBRATEURS A BETON TALOCHEUSES (OU HELICOPTERES) ET VIBREURS (ET AIGUILLES A BETON) - BENNES A BETON;0
27;14;01;SONDEUSES ET FOREUSES;0
27;15;01;ENGINS DE BATTAGE DE PIEUX SONNETTES;0
27;16;01;MATERIEL MECANIQUE DE POSE OU DE REPARATION DE VOIES FERREES;0
27;17;01;CAISSONS A AIR COMPRIME, BOUCLIERS (ON CLASSERA ICI LES ACCIDENTS DENOMMES : COUPS DE PRESSION);0
27;18;01;SCAPHANDRES;0
28;00;01;MACHINES DIVERSES NE RENTRANT DANS AUCUNE DES RUBRIQUES PRECEDENTES(10 A 27).PRESSES DE BLANCHISSERIE,MACHINES/TOURS A CONFECTIONNER LES PNEUS,IMPRESSIONS DES BANDES ADRESSOGRAPHE,LISSEUSES DE CUIR;0
29;00;01;MACHINES NON PRECISEES PAR LA DECLARATION;0
30;01;01;NON PRECISE - PISTOLETS PNEUMATIQUES SANS PRECISION DE L'OUTIL;0
30;02;01;NON CLASSE- ETAUX PNEUMATIQUES, CINTREUSES, PISTOLETS DE PEINTURE, IMMER-ROLL (OU CASH OU CONSULE) DE MATELAS;0
30;03;01;MEULES;0
30;04;01;PONCEUSES, POLISSEUSES, DISQUEUSES;0
30;05;01;VISSEUSES, SERREUSES;0
30;06;01;MARTEAUX RIVETEURS;0
30;07;01;BURINS, DERIVETEURS;0
30;08;01;PERCEUSES, CHIGNOLES;0
30;09;01;SCIES. - CIRCULAIRES OU ALTERNATIVES (SCIES SAUTEUSES);0
30;10;01;MARTEAUX PIQUEURS, MARTEAUX PNEUMATIQUES SANS PRECISION DE L'OUTIL;0
30;11;01;MARTEAUX PERFORATEURS;0
30;12;01;BRISE-BETON;0
30;13;01;PISTOLETS DE SCELLEMENT A CARTOUCHES EXPLOSIVES;0
30;14;01;TONDEUSES, FAUCHEUSES;0
31;01;01;NON PRECISE : OUTILS A MAIN;0
31;02;01;NON CLASSE - ETAUX, BALAIS, BROSSES, FERS A REPASSER (ELECTRIQUES OU NON), PERCEUSES A MAIN, CREPISSEURS - APPAREILS A CERCLER. PINCES;0
31;03;01;LIMES, RAPES.;0
31;04;01;BURINS, BROCHES, POINCONS, TRANCHES, GOUGES, CISEAUX A BOIS. POINTES A TRACER, RABOTS, VARLOPES;0
31;05;01;CISEAUX A BRANCHES ET CISAILLES. -;0
31;06;01;SCIES A MAIN;0
31;07;01;HACHES, SERPES, HERMINETTES. - HACHOIRS A MAIN, FAUX, FAUCILLES,;0
31;08;01;COUTEAUX, TRANCHETS, SERPETTES. - GRATTOIRS ET COUPE-PAPIER, SCALPELS;0
31;09;01;CROCS, CROCHETS, GAFFES. -;0
31;10;01;MARTEAUX, MASSES, MASSETTES. - MAILLETS;0
31;11;01;CLEFS. - CLEFS A GRIFFES;0
