MED_NCL_IDT;MED_MTF_COD;MED_MTF_LIB;TEC_COL
CIM10;E64;A COMPLETER;0
CIM10;E65;A COMPLETER;0
CIM10;E66;A COMPLETER;0
CIM10;E67;A COMPLETER;0
CIM10;E68;A COMPLETER;0
CIM10;E70;A COMPLETER;0
CIM10;E700;PHENYLCETON. CLASS.;0
CIM10;E701;A COMPLETER;0
CIM10;E702;ANOM. METAB.TYROSINE;0
CIM10;E703;A COMPLETER;0
CIM10;E708;ANOM.METAB. A.A.AROM;0
CIM10;E709;ANOM.METAB. A.A.AROM;0
CIM10;E71;A COMPLETER;0
CIM10;E710;MAL. URINES A ODEUR;0
CIM10;E711;ANOM.METAB.A.A.CHAIN;0
CIM10;E712;ANOM.METAB.A.A.CHAIN;0
CIM10;E72;A COMPLETER;0
CIM10;E720;ANOM.TRANSPORT AC.AM;0
CIM10;E721;ANOM.METAB.A A.SOUF.;0
CIM10;E722;A COMPLETER;0
CIM10;E723;ANOM.METAB.LYSINE ET;0
CIM10;E724;ANOM.METAB.ORNITHINE;0
CIM10;E725;A COMPLETER;0
CIM10;E728;ANOM.P.METAB.A A,NCA;0
CIM10;E729;A COMPLETER;0
CIM10;E73;A COMPLETER;0
CIM10;E730;DEFIC. CONG. LACTASE;0
CIM10;E731;DEFIC. 2re.  LACTASE;0
CIM10;E738;INTOLER. LACTOSE,NCA;0
CIM10;E739;INTOLER.LACTOSE,SAI;0
CIM10;E74;A COMPLETER;0
CIM10;E75;A COMPLETER;0
CIM10;E750;A COMPLETER;0
CIM10;E751;A COMPLETER;0
CIM10;E752;SPHINGOLIPIDOSES,NCA;0
CIM10;E753;A COMPLETER;0
CIM10;E754;A COMPLETER;0
CIM10;E755;ANOM.STOCKAGE LIPIDE;0
CIM10;E756;ANOM.STOCKAGE LIPIDE;0
CIM10;E76;A COMPLETER;0
CIM10;E760;MUCOPOLYSACC.,TYPE I;0
CIM10;E761;MUCOPOLYSACC.TYPE II;0
CIM10;E762;A COMPLETER;0
CIM10;E763;A COMPLETER;0
CIM10;E768;ANOM.METAB. GLUCOSAM;0
CIM10;E769;ANOM. METAB GLUCOSAM;0
CIM10;E77;A COMPLETER;0
CIM10;E770;DEF.TRANS ENZYM.LYSO;0
CIM10;E771;DEF.  DEGR. GLYCOPR.;0
CIM10;E78;ANOM.METAB. LIPOPROT;0
