ETB_FIN_NUM;ETB_FIN_CLE;ORG_GRG_COD;ORG_CAI_NUM
33079529;5;1;331
33079530;3;1;331
33080029;3;1;331
33080236;4;1;331
33080277;8;1;331
34000901;8;1;342
34000953;9;1;342
34000988;5;1;341
34001014;9;1;342
34001505;6;1;342
34001550;2;1;342
34001595;7;1;342
34001596;5;1;341
34001599;9;1;341
34001600;5;1;342
34078009;7;1;341
34078011;3;1;341
34078012;1;1;341
34078013;9;1;341
34078014;7;1;341
34078015;4;1;341
34078016;2;1;341
34078019;6;1;341
34078021;2;1;341
34078025;3;1;341
34078056;8;1;342
34078060;0;1;342
34078063;4;1;342
34078066;7;1;342
34078067;5;1;342
34078068;3;1;342
34078069;1;1;342
34078071;7;1;342
34078072;5;1;342
34078074;1;1;342
34078075;8;1;342
34078076;6;1;342
34078078;2;1;342
34078079;0;1;342
34078080;8;1;342
34078081;6;1;342
34078082;4;1;342
34078084;0;1;342
34078085;7;1;342
34078093;1;1;342
34078138;4;1;342
34078200;2;1;341
34078937;9;1;342
34078998;1;1;342
34079609;3;1;342
34079759;6;1;342
34079855;2;1;341
35000012;1;1;351
35000019;6;1;351
35000211;9;1;351
35000217;6;1;351
35000219;2;1;351
35000280;4;1;351
35000514;6;1;351
35003073;0;1;351
35003074;8;1;351
35003076;3;1;351
35003293;4;1;351
35003970;7;1;351
35003971;5;1;351
35004004;4;1;351
35004203;2;1;351
35004213;1;1;351
35004240;4;1;351
35004260;2;1;351
35004262;8;1;351
35004475;6;1;351
35004577;9;1;351
36000012;9;1;361
36000021;0;1;361
36000096;2;1;361
36000213;3;1;361
36000223;2;1;361
36000389;1;1;361
36000452;7;1;361
36000561;5;1;361
36000665;4;1;361
37000004;4;1;371
37000005;1;1;371
37000008;5;1;371
37000009;3;1;371
37000010;1;1;371
37000011;9;1;371
37000012;7;1;371
37000013;5;1;371
37000014;3;1;371
37000015;0;1;371
37000017;6;1;371
37000047;3;1;371
37000204;0;1;371
37000205;7;1;371
37000242;0;1;371
37010055;4;1;371
37010088;5;1;371
37010101;6;1;371
37010265;9;1;371
37010283;2;1;371
37010315;2;1;371
37010367;3;1;371
37010400;2;1;371
37010424;2;1;371
37010457;2;1;371
37010480;4;1;371
38000072;9;1;382
38000082;8;1;382
38000096;8;1;381
38000746;8;1;381
38001303;7;1;381
38001525;5;1;381
38078019;7;1;381
38078027;0;1;381
38078028;8;1;381
38078029;6;1;381
38078112;0;1;381
38078145;0;1;382
38078480;1;1;381
38078517;0;1;381
38078595;6;1;381
38078644;2;1;381
38079381;0;1;381
38079720;9;1;381
38079721;7;1;381
38079723;3;1;381
38079963;5;1;381
38080396;5;1;381
38080420;3;1;381
39000434;9;1;391
39000459;6;1;391
39000521;3;1;391
39078055;9;1;251
39078057;5;1;251
39078306;6;1;391
39078308;2;1;391
39078489;0;1;391
39078640;8;1;391
40000670;6;1;401
40000671;4;1;401
40000673;0;1;401
40000677;1;1;401
40000679;7;1;401
40000704;3;1;401
40000733;2;1;401
40000819;9;1;401
40001090;6;1;401
40001120;1;1;401
40078010;2;1;401
40078028;4;1;401
40078029;2;1;401
40078034;2;1;401
40078035;9;1;401
40078037;5;1;401
40078042;5;1;401
40078046;6;1;401
40078048;2;1;401
40078088;8;1;401
40078276;9;1;401
40078971;5;1;401
40079098;6;1;401
40079101;8;1;401
41000019;4;1;411
41000020;2;1;411
41000027;7;1;411
41000028;5;1;411
41000029;3;1;411
41000030;1;1;411
41000341;2;1;411
41000446;9;1;411
41000468;3;1;411
41000499;8;1;411
41000500;3;1;411
41000501;1;1;411
41000528;4;1;411
41000529;2;1;411
41000595;3;1;411
41000755;3;1;411
42000247;9;1;422
42001141;3;1;422
42001151;2;1;422
42001160;3;1;422
42001166;0;1;422
42078006;6;1;421
42078050;4;1;422
42078061;1;1;422
42078176;7;1;421
42078231;0;1;421
42078259;1;1;422
42078310;2;1;422
42078680;8;1;422
42078752;5;1;422
42078844;0;1;422
42078867;1;1;422
42078868;9;1;422
42078952;1;1;422
42078996;8;1;422
42079008;1;1;422
42079369;7;1;422
43000010;9;1;431
43000014;1;1;431
43000015;8;1;431
43000016;6;1;431
43000018;2;1;431
43000347;5;1;431
43000745;0;1;431
44000040;4;1;441
44000041;2;1;441
44000048;7;1;441
44000051;1;1;441
44000058;6;1;441
44000060;2;1;441
44000065;1;1;441
44000070;1;1;441
44000080;0;1;441
44000202;0;1;442
44000339;0;1;442
44000508;0;1;441
44002336;4;1;441
44002498;2;1;441
