GHS_NUM;GHS_NUM_NUM;GHS_CMD;GHS_CMD_BIS;GHS_CMD_NUM;GHM_NUM;GHM_NUM_BIS;GHS_SEU_BA1;GHS_SEU_BA2;GHS_SEU_HA1;GHS_SEU_HA2;GHS_PR1;GHS_PR2;EXH_PR1;EXH_PR2;VER_10B;VER_10C;MED_SUS_TAU;DMI_SUS_TAU;MED_CMD_TAU;DMI_CMD_TAU;TAR_IND;TAR_COE
8045;;;;;24C46Z;;;;;;1657.62;1657.62;;;;;;;;;;
8046;;;;;24C47Z;;;;;;963.76;963.76;;;;;;;;;;
8047;;;;;24C48Z;;;;;;868.48;868.48;;;;;;;;;;
8048;;;;;24C49Z;;;;;;1181.24;1181.24;;;;;;;;;;
8049;;;;;24C50Z;;;;;;1288.98;1288.98;;;;;;;;;;
8050;;;;;24C51Z;;;;;;1428.55;1428.55;;;;;;;;;;
8051;;;;;24C52Z;;;;;;2725.49;2725.49;;;;;;;;;;
8052;;;;;24C53Z;;;;;;1098.36;1098.36;;;;;;;;;;
8053;;;;;24C54Z;;;;;;745.21;745.21;;;;;;;;;;
8054;;;;;24C55Z;;;;;;1134.44;1134.44;;;;;;;;;;
8055;;;;;24C45Z;;;;;;1265.95;1265.95;;;;;;;;;;
