PHA_PRS_IDE;PHA_ATC_CLA;GRP_GRP_COD;TEC_COL
3245251;J01;Ant;0
3245268;J01;Ant;0
3245274;J01;Ant;0
3245328;M01;;0
3245400;A01;;0
3245624;J01;Ant;0
3245877;V08;;0
3245883;V08;;0
3245908;V08;;0
3245914;V08;;0
3245920;V08;;0
3245937;V08;;0
3245943;V08;;0
3245966;V08;;0
3245972;V08;;0
3246026;C01;;0
3246049;M01;;0
3246121;N02;;0
3246262;A02;;0
3246701;R01;;0
3246753;B05;;0
3247103;S01;;0
3247126;S01;;0
3247333;D07;;0
3247356;D07;;0
3247362;D07;;0
3247379;D07;;0
3247385;A07;;0
3247451;B05;;0
3247511;B05;;0
3247847;N02;;0
3226934;J01;Ant;0
3227046;INC;;0
3227052;R01;;0
3227069;D10;;0
3227098;D07;;0
3227141;N02;;0
3227448;J01;Ant;0
3227520;C01;;0
3227572;C04;;0
3227827;D10;;0
3227980;S01;;0
3039149;B06;;0
3039155;B06;;0
3039327;N02;;0
3039333;N02;;0
3039356;N02;;0
3039563;A15;;0
3039586;A15;;0
3039698;B03;;0
3040000;J01;Ant;0
3040017;G01;;0
3040106;A09;;0
3040359;J01;Ant;0
3040388;INC;;0
3040626;A01;;0
3040891;B03;;0
3040939;INC;;0
3041123;N02;;0
3041146;N02;;0
3041703;D06;;0
3041809;B03;;0
3041867;J02;;0
3041904;J01;Ant;0
3042045;INC;;0
3042068;R05;;0
3042157;N05;;0
3042281;N01;;0
3042430;N02;;0
3042447;N02;;0
3042453;N02;;0
3042476;N02;;0
3042507;N03;;0
3042513;N03;;0
3042536;N03;;0
3042855;A02;;0
3042861;A02;;0
3043116;A02;;0
3043398;A03;;0
3043406;A03;;0
3043412;A03;;0
3043547;N05;Psy;0
3043553;N05;Psy;0
3043642;J01;Ant;0
3043659;J01;Ant;0
3043665;J01;Ant;0
3043783;S01;;0
3043808;S01;;0
3044541;A10;;0
3044558;A10;;0
3044802;A10;;0
3045262;INC;;0
3010507;A11;;0
3263680;R06;;0
3263697;M01;;0
3263705;A06;;0
3263711;R01;;0
3263728;A02;;0
3263757;C01;;0
3263763;C01;;0
3263823;M01;;0
3263898;J01;Ant;0
3263906;J01;Ant;0
3263912;J01;Ant;0
3263929;J01;Ant;0
3263935;J01;Ant;0
3263964;J01;Ant;0
3264343;A07;;0
3264432;A11;;0
3264449;N05;Psy;0
3264455;N05;Psy;0
3264484;V08;;0
3264521;S01;;0
3264544;C07;;0
3264550;A11;;0
3264834;H05;;0
3264998;L01;;0
3265348;N05;;0
3265710;C01;;0
3265733;L02;;0
3233911;C07;;0
3233957;J01;Ant;0
3233963;J01;Ant;0
3234017;P02;;0
3234046;C01;;0
3234069;C01;;0
3234075;A05;;0
3234098;A03;;0
3234112;A03;;0
3234164;A05;;0
3234170;A05;;0
3234187;A05;;0
3234193;A05;;0
3234371;J01;Ant;0
3234477;J01;Ant;0
3234508;P02;;0
3234514;J01;Ant;0
3234520;J01;Ant;0
3234537;J01;Ant;0
3192939;B03;;0
3192974;R03;;0
3193465;N01;;0
3193560;J01;Ant;0
3193726;INC;;0
3193821;A11;;0
3193933;J01;Ant;0
3194051;J01;Ant;0
3194105;D01;;0
3194157;B05;;0
3194200;B05;;0
3194708;B05;;0
3194714;INC;;0
3194915;J01;Ant;0
3069498;S01;;0
3069535;M03;;0
3069825;N03;;0
3069848;N07;;0
3070136;A12;;0
3070219;N05;;0
3070248;L01;;0
3070260;C03;;0
3070515;R01;;0
3070604;G01;;0
3070768;H03;;0
3071006;R05;;0
3071012;R05;;0
3071058;R05;;0
3071064;R05;;0
3071101;S01;;0
3071302;INC;;0
3071319;S01;;0
3071325;S01;;0
3071466;V04;;0
3071472;V04;;0
3071696;N05;;0
3071816;M02;;0
3071845;N05;;0
3071851;N05;Psy;0
3072448;J01;Ant;0
3072454;J01;Ant;0
3072514;R05;;0
3072520;R05;;0
3072661;A11;;0
3072879;M01;;0
3072885;A14;;0
3312154;J01;Ant;0
3312160;J01;Ant;0
3312177;J01;Ant;0
3312183;J01;Ant;0
3312208;J01;Ant;0
3312220;D07;;0
3312303;R03;;0
3312438;R05;;0
3312556;S01;;0
3312616;D06;;0
3312639;D05;;0
3312674;D05;;0
3312705;R05;;0
3318754;D01;;0
3318949;A11;;0
3318961;R03;;0
3318984;H02;;0
3319133;S01;;0
3319328;S01;;0
3319392;M01;;0
3319400;A03;;0
3319475;S01;;0
3319481;S01;;0
3319535;N04;;0
3319802;J01;Ant;0
3319819;J01;Ant;0
3319825;J01;Ant;0
3319831;N06;;0
