SEE_RSQ_NUM;SEE_BUR_NUM;SEE_CTN_NUM;ATV_COD_STR;SEE_RSQ_LIB;GRT_ACT_NUM;CTN_COD_FIN;GFI_COD_FIN;CTN_COD_CAL;GFC_NUM_CAL;TOP_TAR_IND;RSQ_BUR_IND;RSQ_BEN_IND;RSQ_DOC_IND;TAU_ECR_RDO;RSQ_CGL_IND;RSQ_ETT_IND;RSQ_SAL_IND;RSQ_EFF_IND;RSQ_HRE_IND;RSQ_COT_IND;RSQ_EFF_NGL;RSQ_BAT_IND;RSQ_EXC_IND;TEC_COL
921DB;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921DB;N;CC;X;Entreprises de travaux à façon de cinéma : studio d'enregistrement sonore;11;CC;039;CC;039;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921DC;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921DC;N;CC;X;Studios de cinéma (sauf les artistes);11;CC;032;CC;032;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921DD;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921DD;N;CC;X;Exploitation de studios d'enregistrement sonore (sauf les artistes) - Travaux à façon de cinéma : développement, tirage de films   Distribution de films;11;CC;039;CC;039;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921FA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921FA;N;CC;X;Distribution de films et vidéo;11;CC;039;CC;039;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921JA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921JA;N;CC;X;Projection de films cinématographiques;11;CC;031;CC;031;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
922AA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
922AA;N;CC;X;Entreprise de radiodiffusion et de télévision (tout le personnel sauf les artistes);11;CC;031;CC;031;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
922BA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
922BA;N;CC;X;Production de programmes de télévision;11;CC;032;CC;032;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923AA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923AA;N;CC;X;Entreprise de concert public, salle de concert, salle d'audition phonographique;11;CC;031;CC;031;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923AB;B;ZZ;X;;00;ZZ;000;ZZ;000;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923AB;N;CC;X;Création et interprétation littéraires et artistiques;11;CC;042;CC;042;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923AC;B;ZZ;X;;00;ZZ;000;ZZ;000;*;0;0;0;00000;1;0;1;1;1;0;1;0;1;0
923AC;N;CC;X;Artistes, pour toutes leurs activités;11;CC;033;CC;033;*;0;0;0;00000;1;0;1;1;1;0;1;0;1;0
923AD;B;ZZ;X;;0;ZZ;0;ZZ;0;*;1;0;0;0;0;0;1;1;1;0;0;0;0;0
923AD;N;CC;X;Artistes, pour toutes leurs activités. Création et interprétation littéraires et artistiques - Services annexes des spectacles (tout intermittent du spectacle).;14;CC;33;CC;33;*;1;0;0;0;0;0;1;1;1;0;0;0;0;0
923BA;B;ZZ;X;;00;ZZ;000;ZZ;000;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923BA;N;CC;X;Services annexes des spectacles;14;CC;043;CC;043;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923DA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923DA;N;DD;X;Débits de boissons (avec spectacle), sauf les artistes;21;DD;035;DD;035;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923DD;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923DD;N;CC;X;Gestion d'équipements culturels socio-éducatifs et de salles de spectacles (sauf les artistes);14;CC;031;CC;031;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923FA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923FA;N;CC;X;Attractions foraines (sauf les artistes) sans montage de manège;13;CC;031;CC;031;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923FB;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923FB;N;CC;X;Attractions foraines (sauf les artistes) avec montage de manèges ou de chapiteaux;13;CC;035;CC;035;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923FC;B;ZZ;X;;0;ZZ;0;ZZ;0;*;0;0;0;0;0;0;1;1;1;0;0;0;1;0
923FC;N;ZZ;X;Salariés employés dans le cadre du titre emploi forain;0;ZZ;0;ZZ;0;*;0;0;0;0;0;0;1;1;1;0;0;0;1;0
923FD;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
923FD;N;CC;X;Entreprise de concert public, salle de concert, salle d'audition phonographique. Gestion d'équipements culturels socio-éducatifs et de salles de spectacles (sa;14;CC;031;CC;031;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
924ZA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
924ZA;N;CC;X;Agence de presse, y compris journalistes et photographes indépendants;10;CC;002;CC;002;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
925AA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
925AA;N;CC;X;Gestion de bibliothèques et conservation du patrimoine culturel (monument privé, musée privé);14;CC;031;CC;031;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
926AA;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;1;0
926AA;N;CC;X;Gestion d'équipements et centres sportifs (personnel non visé  ailleurs et notamment aux risques 92.6CH et 92.6CI);14;CC;31;CC;31;;1;0;0;0;0;0;1;1;1;0;0;0;1;0
926CA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
926CA;N;CC;X;Courses de chevaux, courses de taureaux;13;CC;049;CC;049;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
926CC;B;ZZ;;;00;ZZ;000;ZZ;000;*;0;0;0;00000;1;0;0;1;0;1;1;0;1;0
926CC;N;ZZ;;Cadets de golf;00;ZZ;000;ZZ;000;*;0;0;0;00000;1;0;0;1;0;1;1;0;1;0
926CG;B;ZZ;X;;0;ZZ;0;ZZ;0;*;1;0;0;0;0;0;1;1;1;0;0;0;1;0
926CG;N;CC;X;Associations ou sociétés sportives ne gérant pas d'équipements;13;CC;48;CC;48;*;1;0;0;0;0;0;1;1;1;0;0;0;1;0
926CH;B;ZZ;;;0;ZZ;0;ZZ;0;;0;0;0;0;0;0;1;1;1;0;0;0;1;0
