GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI;GHS_COE_MED;GHS_COE_DMI
3736;10C084;10;104;21774.51;389.40;9084.52;0.00;0.03083;0.01782
3737;10C08J;0;0;802.85;0.00;0.00;0.00;0.02366;0.16008
3738;10C091;2;10;3822.26;235.85;0.00;937.54;0.00026;0.12655
3739;10C092;0;15;5078.43;433.37;0.00;0.00;0.00039;0.05302
3740;10C093;0;28;10712.18;722.17;0.00;0.00;0.00039;0.05302
3741;10C094;0;0;20036.48;0.00;0.00;0.00;0.00039;0.05302
3742;10C101;2;11;3049.21;188.17;0.00;803.04;0.00122;0.00046
3743;10C102;0;16;3990.08;402.03;0.00;0.00;0.08549;0.00058
3744;10C103;0;28;8814.39;546.89;0.00;0.00;0.08549;0.00058
3745;10C104;0;0;14283.64;0.00;0.00;0.00;0.08549;0.00058
3746;10C111;2;8;3830.01;274.75;0.00;638.35;0.00362;0.00081
3747;10C112;0;14;5478.54;435.01;0.00;0.00;0.00033;0.00077
3748;10C113;0;32;13308.79;759.06;0.00;0.00;0.00033;0.00077
3749;10C114;0;0;22844.69;0.00;0.00;0.00;0.00033;0.00077
3750;10C121;2;8;2366.01;214.92;0.00;236.60;0.00317;0.00113
3751;10C122;0;11;3234.90;195.67;0.00;0.00;0.00771;0.00065
3752;10C123;0;30;8810.37;165.98;0.00;0.00;0.00092;0.00382
3753;10C124;7;68;15117.55;411.27;6307.18;0.00;0.00092;0.00382
3754;10C131;3;17;4751.61;293.79;0.00;1141.56;0.00023;0.00040
3755;10C132;4;22;6220.57;336.32;1468.96;0.00;0.00028;0.00022
3756;10C133;0;31;13504.99;221.25;0.00;0.00;0.00025;0.00013
3757;10C134;11;68;21691.07;640.38;8186.08;0.00;0.00025;0.00013
3911;10M021;3;12;1886.81;142.10;0.00;469.67;0.00251;0.00158
3912;10M022;4;20;3091.96;134.50;1205.15;0.00;0.00170;0.00106
3913;10M023;0;29;4302.50;204.23;0.00;0.00;0.00808;0.00197
3914;10M024;0;45;7570.15;309.02;0.00;0.00;0.01969;0.00036
3915;10M02T;0;0;477.80;0.00;0.00;0.00;0.00785;0.00005
3916;10M031;3;12;2136.24;154.75;0.00;561.52;0.00112;0.00029
3917;10M032;0;18;3370.11;120.82;0.00;0.00;0.00890;0.00019
3918;10M033;0;27;4457.44;302.25;0.00;0.00;0.03826;0.00012
3919;10M034;0;0;6730.64;0.00;0.00;0.00;0.03826;0.00012
3920;10M03T;0;0;451.67;0.00;0.00;0.00;0.00623;0.00001
3921;10M071;0;8;1777.94;128.15;0.00;0.00;0.00587;0.00043
3922;10M072;0;21;3443.88;133.04;0.00;0.00;0.00104;0.00031
3923;10M073;6;35;5306.40;150.34;1862.52;0.00;0.00354;0.00019
3924;10M074;6;53;8012.54;280.26;2706.14;0.00;0.02297;0.00025
3925;10M07T;0;0;618.66;0.00;0.00;0.00;0.00456;0.00012
3926;10M081;0;15;2423.87;124.39;0.00;0.00;0.00234;0.00038
3927;10M082;0;21;3170.24;137.49;0.00;0.00;0.00049;0.00013
3928;10M083;5;30;4407.69;213.96;1237.45;0.00;0.00327;0.00055
3929;10M084;6;46;7831.08;312.79;3423.39;0.00;0.01468;0.00017
3930;10M08T;0;0;594.86;0.00;0.00;0.00;0.00221;0.00033
3931;10M091;2;7;1510.34;79.92;0.00;497.33;0.00068;0.00098
3932;10M092;0;18;2757.05;68.43;0.00;0.00;0.00069;0.00016
3933;10M093;0;31;3646.59;71.53;0.00;0.00;0.00661;0.00007
3934;10M094;7;57;5506.28;180.90;1859.69;0.00;0.00661;0.00007
3935;10M09T;0;0;515.68;0.00;0.00;0.00;0.00363;0.00196
3936;10M101;0;7;2389.63;221.23;0.00;0.00;0.08633;0.00006
3937;10M102;0;20;6605.71;131.89;0.00;0.00;0.04280;0.00010
3938;10M103;0;35;8584.00;459.86;0.00;0.00;0.01511;0.00003
3939;10M104;0;0;12961.66;0.00;0.00;0.00;0.01511;0.00003
3940;10M10T;0;0;765.56;0.00;0.00;0.00;0.01341;0.00005
3941;10M111;0;6;1717.27;187.64;0.00;0.00;0.16454;0.00195
3942;10M112;0;20;5075.21;135.42;0.00;0.00;0.08756;0.00130
3943;10M113;0;34;6971.10;377.08;0.00;0.00;0.08756;0.00130
3944;10M114;0;0;10525.01;0.00;0.00;0.00;0.08756;0.00130
3972;10M11T;0;0;478.12;0.00;0.00;0.00;0.47756;0.06500
3945;10M121;0;7;1883.37;129.75;0.00;0.00;0.00500;0.00064
3946;10M122;0;17;3180.83;151.36;0.00;0.00;0.01497;0.00045
