BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
1683;25DEC2008:00:00:00;B;31DEC9999:00:00:00;170.00
1690;12JUL1999:00:00:00;B;31DEC9999:00:00:00;300.00
1691;15MAR2011:00:00:00;B;31DEC9999:00:00:00;200.00
1701;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30.00
1702;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1703;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1704;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1705;12AUG1997:00:00:00;B;31DEC9999:00:00:00;50.00
1706;12OCT1997:00:00:00;B;04SEP2014:00:00:00;20.00
1707;12OCT1997:00:00:00;B;04SEP2014:00:00:00;70.00
1708;12OCT1997:00:00:00;B;04SEP2014:00:00:00;70.00
1709;12OCT1997:00:00:00;B;03SEP2014:00:00:00;50.00
1709;04SEP2014:00:00:00;B;31DEC9999:00:00:00;50.00
1710;12AUG1997:00:00:00;B;31DEC9999:00:00:00;40.00
1711;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70.00
1712;12AUG1997:00:00:00;B;31DEC9999:00:00:00;50.00
1713;01JAN1996:00:00:00;B;10FEB2011:00:00:00;120.00
1713;11FEB2011:00:00:00;B;12APR2014:00:00:00;90.00
1713;13APR2014:00:00:00;B;01FEB2019:00:00:00;85.00
1714;01JAN1996:00:00:00;B;01FEB2019:00:00:00;70.00
1715;01JAN1996:00:00:00;B;19SEP2019:00:00:00;70.00
1716;01JAN1996:00:00:00;B;10FEB2011:00:00:00;120.00
1716;11FEB2011:00:00:00;B;19SEP2019:00:00:00;100.00
1717;05AUG1997:00:00:00;B;19SEP2019:00:00:00;40.00
1718;11NOV2007:00:00:00;B;10FEB2011:00:00:00;65.00
1718;11FEB2011:00:00:00;B;19SEP2019:00:00:00;55.00
1719;01JAN1996:00:00:00;B;19SEP2019:00:00:00;40.00
1720;01JAN1996:00:00:00;B;13JUL2017:00:00:00;150.00
1721;01JAN1996:00:00:00;B;13JUL2017:00:00:00;40.00
1729;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30.00
1730;01JAN1996:00:00:00;B;10FEB2011:00:00:00;70.00
1730;11FEB2011:00:00:00;B;31DEC9999:00:00:00;60.00
1731;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1732;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30.00
1733;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1734;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1735;05AUG1997:00:00:00;B;31DEC9999:00:00:00;50.00
1736;12OCT1997:00:00:00;B;10FEB2011:00:00:00;70.00
1736;11FEB2011:00:00:00;B;31MAR2017:00:00:00;60.00
1736;01APR2017:00:00:00;B;31JAN2019:00:00:00;50.00
1740;12OCT1997:00:00:00;B;31JAN2019:00:00:00;70.00
1741;12OCT1997:00:00:00;B;01FEB2019:00:00:00;70.00
1742;12OCT1997:00:00:00;B;01FEB2019:00:00:00;70.00
1743;05AUG1997:00:00:00;B;13APR2018:00:00:00;70.00
1744;11NOV2007:00:00:00;B;07FEB2009:00:00:00;65.00
1744;08FEB2009:00:00:00;B;30JAN2012:00:00:00;60.00
1744;31JAN2012:00:00:00;B;31JAN2019:00:00:00;50.00
1745;12OCT1997:00:00:00;B;01FEB2019:00:00:00;40.00
1746;11NOV2007:00:00:00;B;07FEB2009:00:00:00;65.00
1746;08FEB2009:00:00:00;B;30JAN2012:00:00:00;60.00
1746;31JAN2012:00:00:00;B;01FEB2019:00:00:00;50.00
1747;12OCT1997:00:00:00;B;01FEB2019:00:00:00;40.00
1752;01JAN1996:00:00:00;B;31JAN2019:00:00:00;70.00
1753;01JAN1996:00:00:00;B;01FEB2019:00:00:00;40.00
1754;12OCT1997:00:00:00;B;31MAR2017:00:00:00;70.00
1754;01APR2017:00:00:00;B;31DEC9999:00:00:00;65.00
1755;12AUG1997:00:00:00;B;31DEC9999:00:00:00;180.00
1756;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70.00
1757;12AUG1997:00:00:00;B;13APR2018:00:00:00;120.00
1758;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70.00
1759;02AUG1997:00:00:00;B;31DEC9999:00:00:00;40.00
1760;01JAN1996:00:00:00;B;31DEC9999:00:00:00;20.00
1761;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30.00
1762;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1763;01JAN1996:00:00:00;B;31MAR2017:00:00:00;120.00
1763;01APR2017:00:00:00;B;31MAR2019:00:00:00;105.00
1764;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1765;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1766;12AUG1997:00:00:00;B;31DEC9999:00:00:00;120.00
1767;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70.00
1768;12AUG1997:00:00:00;B;31DEC9999:00:00:00;120.00
1769;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70.00
