ORG_NUM;ORG_GRG_COD;CTI_NUM;CTI_INF_NUM;CRA_COD;URC_ARH_COD;SLM_NUM;ORG_BSE_NUM;ORG_ORG_TYP;GEO_DPT_COD;GEO_COM_COD;ORG_ACO_COD;ORG_SLM_CLM;ORG_UGE_COD;ORG_SIR_NUM;ORG_CAI_NUM;GDP_NV0_COD;GDP_NV1_COD;GDP_NV2_COD;ORG_TOP_INF;TEC_COL
01C751351;1;36;35;75;11;;01C751;C;075;101;075072;;351;;751;;;;0;0
01C751352;1;36;35;75;11;;01C751;C;075;101;075072;;352;;751;;;;0;0
01C671323;1;17;13;67;44;;01C673;C;067;180;067071;;323;;673;;;;0;0
01C671331;1;17;13;67;44;;01C673;C;067;180;067071;;331;;673;;;;0;0
01C671332;1;17;13;67;44;;01C673;C;067;180;067071;;332;;673;;;;0;0
01C671333;1;17;13;67;44;;01C673;C;067;180;067071;;333;;673;;;;0;0
01C671343;1;17;13;67;44;;01C673;C;067;180;067071;;343;;673;;;;0;0
01C721190;1;23;23;44;52;;01C721;C;072;;;;190;;721;;;;0;0
01C721193;1;23;23;44;52;;01C721;C;072;181;072070;;193;;721;;;;0;0
01C721194;1;23;23;44;52;;01C721;C;072;181;072070;;194;;721;;;;0;0
01C721200;1;23;23;44;52;;01C721;C;072;181;072070;;200;;721;;;;0;0
01C721201;1;23;23;44;52;;01C721;C;072;181;072070;;201;;721;;;;0;0
01C721203;1;23;23;44;52;;01C721;C;072;;;;203;;721;;;;0;0
01C721205;1;23;23;44;52;;01C721;C;072;181;072070;;205;;721;;;;0;0
01C721210;1;23;23;44;52;;01C721;C;072;181;072070;;210;;721;;;;0;0
01C721211;1;23;23;44;52;;01C721;C;072;181;072070;;211;;721;;;;0;0
01C721212;1;23;23;44;52;;01C721;C;072;181;072070;;212;;721;;;;0;0
01C682624;1;17;13;67;44;;01C682;C;068;224;068170;;624;;682;;;;0;0
01C682626;1;17;13;67;44;;01C682;C;068;224;068170;;626;;682;;;;0;0
01C682628;1;17;13;67;44;;01C682;C;068;224;068170;;628;;682;;;;0;0
01C682631;1;17;13;67;44;;01C682;C;068;224;068170;;631;;682;;;;0;0
01C682638;1;17;13;67;44;;01C682;C;068;224;068170;;638;;682;;;;0;0
01C682642;1;17;13;67;44;;01C682;C;068;224;068170;;642;;682;;;;0;0
01C682643;1;17;13;67;44;;01C682;C;068;224;068170;;643;;682;;;;0;0
01C751353;1;36;35;75;11;;01C751;C;075;101;075072;;353;;751;;;;0;0
01C751355;1;36;35;75;11;;01C751;C;075;101;075072;;355;;751;;;;0;0
01C741512;1;16;16;69;84;;01C741;C;074;010;074070;;512;;741;;;;0;0
01C741523;1;16;16;69;84;;01C741;C;074;010;074070;;523;;741;;;;0;0
01C741531;1;16;16;69;84;;01C741;C;074;010;074070;;531;;741;;;;0;0
01C741544;1;16;16;69;84;;01C741;C;074;010;074070;;544;;741;;;;0;0
01C741547;1;16;16;69;84;;01C741;C;074;010;074070;;547;;741;;;;0;0
01C741551;1;16;16;69;84;;01C741;C;074;010;074070;;551;;741;;;;0;0
01C741552;1;16;16;69;84;;01C741;C;074;010;;;552;;741;;;;0;0
01C761143;1;1;1;76;28;;01C764;C;076;217;076170;;143;;764;;;;0;0
01C761144;1;1;1;76;28;;01C764;C;076;217;076170;;144;;764;;;;0;0
01C761145;1;1;1;76;28;;01C764;C;076;217;076170;;145;;764;;;;0;0
01C761146;1;1;1;76;28;;01C764;C;076;217;076170;;146;;764;;;;0;0
01C761152;1;1;1;76;28;;01C764;C;076;217;076170;;152;;764;;;;0;0
01C761156;1;1;1;76;28;;01C764;C;076;217;;;156;;764;;;;0;0
01C761157;1;1;1;76;28;;01C764;C;076;217;076170;;157;;764;;;;0;0
01C761159;1;1;1;76;28;;01C764;C;076;217;;;159;;764;;;;0;0
01C761160;1;1;1;76;28;;01C764;C;076;217;076170;;160;;764;;;;0;0
