AGE_COD;COU_COD
notifier_exp_def_hdelai;not_exp_def_hdelai
notifier_exp_fav;not_exp_fav
notifier_exp_fav_ad;not_exp_fav_ad
notifier_exp_fav_dmf;not_exp_fav_dmf
notifier_exp_fav_epi;not_exp_fav
notifier_ga;not_nga
notifier_lct_inv_at_ad;info_ad_dc
notifier_lct_inv_at_emp;not_emp_lct_inv_atm
notifier_lct_inv_cou;tr_emp_dat_ad
notifier_lct_inv_cou;tr_emp_dat_ad_b
notifier_lct_inv_dat_vic;info_vic_lct_inv
notifier_lct_inv_dat_vic;tr_emp_dat_lct_inv_a
notifier_lct_inv_dat_vic;tr_emp_dat_lct_inv_b
notifier_lct_inv_dat_vic;trs_vol_soi_vic_f
notifier_lct_inv_dcd_emp;tr_emp_dmp_ad
notifier_lct_inv_dcd_emp;tr_emp_dmp_ad_a
notifier_lct_inv_htab;not_vic_lct_inv_mp_ht
notifier_lct_inv_htab;trs_dmp_ht_emp_ls
notifier_lct_inv_htab;trs_dmp_ht_emp_rar
notifier_lct_inv_mp_ad;info_ad_pie_mp
notifier_lct_inv_mp_ht_ad;info_rec_dmp_ht_cmi_ad
notifier_lct_inv_mp_ht_ad;trs_dmp_ht_ad_emp_ls
notifier_lct_inv_mp_ht_ad;trs_dmp_ht_ad_emp_rar
notifier_lct_inv_vicemp;not_emp_lct_inv2_b
notifier_lct_inv_vicemp;not_emp_lct_inv_a
notifier_lct_inv_vicemp;not_vic_lct_inv
notifier_lct_inv_vicemp;trs_vol_soi_vic_f
notifier_main_ref_adm;not_main_ref_adm
notifier_main_ref_adm_ad;not_main_ref_adm_ad
notifier_main_ref_adm_app;not_main_ref_adm_app
notifier_main_ref_adm_dcd;not_main_ref_adm_dcd
notifier_main_ref_adm_mp;not_main_ref_adm_mp
notifier_main_ref_adm_mp_ad;not_main_ref_adm_mp_ad
notifier_main_ref_adm_mp_dcd;not_main_ref_adm_mp_dcd
notifier_nll_atiatt;info_vic_rchnll_a
notifier_nll_atiatt;not_emp_rchnll_c
notifier_nll_atiatt;not_emp_rchnll_d
notifier_nll_atidef;info_vic_rchnll
notifier_nll_atidef;not_emp_rchnll_a
notifier_nll_atidef;not_emp_rchnll_b
notifier_nll_rchatt;not_emp_nllrch_c
notifier_nll_rchatt;not_emp_nllrch_d
notifier_nll_rchatt;not_vic_nllrch_a
notifier_nll_rchdef;not_emp_nllrch_a
notifier_nll_rchdef;not_emp_nllrch_b
notifier_nll_rchdef;not_vic_nllrch_x
notifier_pec;info_pec_emp
notifier_pec;not_pec_emp
notifier_pec;not_pec_vic
notifier_pec;not_pec_vic_apd
notifier_pec_ad;Inf_pec_mor_emp
notifier_pec_ad;Not_pec_mor_emp
notifier_pec_ad;not_pec_ad
notifier_pec_ad;not_pec_ad_apd
notifier_pec_dcd;not_pec_dc_emp_non_top�
notifier_pec_dcd;not_pec_dc_emp_top�
notifier_pec_dcd;not_pec_dcd
notifier_pec_dcd;not_pec_dcd_apd
notifier_pec_dcd;sign_dcd_cram
notifier_pec_dcd_aut;not_pec_dc_emp_non_top�
notifier_pec_dcd_aut;not_pec_dc_emp_top�
notifier_pec_dcd_aut;not_pec_dcd_aut
notifier_pec_dcd_aut;not_pec_dcd_aut_apd
notifier_pec_dcd_aut;sign_dcd_cram
notifier_pec_def_ad_presum_at;info_ad_rec_dc_presum_def
notifier_pec_def_ad_presum_at;info_emp_rec_dc_pres_def_ls
notifier_pec_def_ad_presum_at;info_emp_rec_dc_pres_def_rar
notifier_pec_emb;not_pec_emb_nontop
notifier_pec_emb;not_pec_emb_top
notifier_pec_emb;not_pec_vic_apd
notifier_pec_mortel_ad;Inf_pec_mor_emp
notifier_pec_mortel_ad;Not_pec_mor_emp
notifier_pec_mortel_ad;not_pec_mortel_ad
notifier_pec_mortel_aut;Inf_pec_mor_emp
notifier_pec_mortel_aut;Not_pec_mor_emp
notifier_pec_mortel_aut;not_pec_mortel_aut
notifier_pec_mortel_aut;not_pec_mortel_aut_apd
notifier_pec_mortel_post_ad;info_pec_emp
notifier_pec_mortel_post_ad;not_pec_ad
notifier_pec_mortel_post_ad;not_pec_ad_apd
notifier_pec_mortel_post_ad;not_pec_emp
notifier_pec_mp_2a;Inf_pec_mp_2a_emp
notifier_pec_mp_2a;info_amiante_vic
notifier_pec_mp_2a;not_pec_mp_2a_emp
notifier_pec_mp_2a;not_pec_mp_2a_vic
notifier_pec_mp_2a;not_pec_mp_2a_vic_apd
notifier_pec_mp_2a_ad;Inf_pec_mp_2a_emp
notifier_pec_mp_2a_ad;not_pec_mp_2a_ad
notifier_pec_mp_2a_ad;not_pec_mp_2a_ad_apd
notifier_pec_mp_2a_ad;not_pec_mp_2a_emp
notifier_pec_mp_crrmp;inf_pec_mp_crrmp_emp
notifier_pec_mp_crrmp;info_amiante_vic
notifier_pec_mp_crrmp;not_pec_mp_crrmp_emp
notifier_pec_mp_crrmp;not_pec_mp_crrmp_vic
notifier_pec_mp_crrmp;not_pec_mp_crrmp_vic_apd
notifier_pec_mp_crrmp_dcd;inf_pec_mp_crrmp_emp
notifier_pec_mp_crrmp_dcd;not_ad_imp_crrmp
notifier_pec_mp_crrmp_dcd;not_pec_mp_crrmp_ad
notifier_pec_mp_crrmp_dcd;not_pec_mp_crrmp_ad_apd
notifier_pec_mp_crrmp_dcd;not_pec_mp_crrmp_emp
notifier_pec_mp_dcd;not_pec_dc_emp_non_top�
notifier_pec_mp_dcd;not_pec_dc_emp_top�
notifier_pec_mp_dcd;not_pec_mp_dcd
notifier_pec_nll_par;inf_pec_nll_emp_par
notifier_pec_nll_par;not_pec_nll_emp_par
notifier_pec_nll_par;not_vic_pec_nll_par
notifier_pec_nll_tot;inf_pec_nll_emp
notifier_pec_nll_tot;inf_vic_pec_nll_tot
notifier_pec_partielle_at;not_emp_pecp_at_nontop
notifier_pec_partielle_at;not_emp_pecp_at_top
notifier_pec_partielle_at;not_vic_pecp_at
notifier_pec_rech_par;Inf_pec_rec_partielle
notifier_pec_rech_par;not_pec_rec_par_vic
notifier_pec_rech_par;not_pec_rec_partielle
notifier_pec_rech_par_ad;Inf_pec_rec_partielle
notifier_pec_rech_par_ad;not_pec_rec_par_ad
notifier_pec_rech_par_ad;not_pec_rec_partielle
notifier_pec_rech_tot;Inf_pec_rec_totale
notifier_pec_rech_tot;not_pec_rec_tot_vic
notifier_pec_rech_tot;not_pec_rec_tot_vic_apd
notifier_pec_rech_tot;not_pec_rec_totale
notifier_pec_rech_tot_ad;Inf_pec_rec_totale
notifier_pec_rech_tot_ad;not_pec_rec_tot_ad
notifier_pec_rech_tot_ad;not_pec_rec_totale
notifier_pec_spc;not_acc_spc_vic
notifier_pec_vic_crrmp;not_emp_imp_mp_ls
notifier_pec_vic_crrmp;not_emp_imp_mp_rar
notifier_pec_vic_crrmp;not_vic_imp_crrmp
notifier_pec_vih;not_pec_vih
notifier_rch_atiatt;info_vic_rchnll_a
notifier_rch_atiatt;not_emp_rchnll_c
notifier_rch_atiatt;not_emp_rchnll_d
notifier_rch_atiatt;trs_vol_soi_vic_f
notifier_rch_atidef;info_vic_rchnll
notifier_rch_atidef;not_emp_rchnll_a
notifier_rch_atidef;not_emp_rchnll_b
notifier_rch_atidef;trs_vol_soi_vic_f
notifier_ref_abs_cm_hos;not_ref_abs_cm_hos
notifier_ref_abs_crrmp_ad;not_ad_rej_abs_crrmp
notifier_ref_abs_crrmp_vic;not_vic_rej_abs_crrmp
notifier_ref_adm_app;info_ref_app_four
notifier_ref_adm_app;not_ref_adm_app
notifier_ref_adm_at;info_ref_adm_mt
notifier_ref_adm_at;not_ref_adm_at_emp
notifier_ref_adm_at;not_ref_adm_at_emp_apd
notifier_ref_adm_at;not_ref_adm_at_vic
notifier_ref_adm_at_ad;not_ref_adm_at_ad
notifier_ref_adm_at_ad;not_ref_adm_at_emp
notifier_ref_adm_at_ad;not_ref_adm_attrmp_dcd_emp
notifier_ref_adm_at_mortel_ad;not_ref_adm_at_emp
notifier_ref_adm_at_mortel_ad;not_ref_adm_at_mortel_ad
notifier_ref_adm_at_mortel_ad;not_ref_adm_attrmpdc_dcd_emp
notifier_ref_adm_dcd;not_ref_adm_at_emp
notifier_ref_adm_dcd;not_ref_adm_dcd
notifier_ref_adm_dcd;not_ref_adm_dcd_emp
notifier_ref_adm_dcd_aut;not_ref_adm_at_emp
notifier_ref_adm_dcd_aut;not_ref_adm_dcd_aut
notifier_ref_adm_dcd_aut;not_ref_adm_dcd_emp
notifier_ref_adm_dcd_mp;not_ref_adm_dcd_mp
notifier_ref_adm_delai_mp_ad;not_ref_adm_at_emp
notifier_ref_adm_delai_mp_ad;not_rej_adm_mp_ad
notifier_ref_adm_delai_mp_vic;info_ref_adm_mt
notifier_ref_adm_delai_mp_vic;not_ref_adm_mp_2a_emp
notifier_ref_adm_delai_mp_vic;not_rej_adm_mp_vic
notifier_ref_adm_ep;info_ref_adm_ep_pro
notifier_ref_adm_ep;not_ref_adm_ep_vic
notifier_ref_adm_hep_g;not_ref_adm_hep_gue
notifier_ref_adm_mortel_aut;not_ref_adm_at_emp
notifier_ref_adm_mortel_aut;not_ref_adm_attrmpdc_dcd_emp
notifier_ref_adm_mortel_aut;not_ref_adm_mortel_aut
notifier_ref_adm_mp_2a;info_ref_adm_mt
notifier_ref_adm_mp_2a;not_ref_adm_mp_2a_emp
notifier_ref_adm_mp_2a;not_ref_adm_mp_2a_emp_apd
notifier_ref_adm_mp_2a;not_ref_adm_mp_2a_vic
notifier_ref_adm_mp_2a_ad;not_ref_adm_at_emp
notifier_ref_adm_mp_2a_ad;not_ref_adm_attrmp_dcd_emp
notifier_ref_adm_mp_2a_ad;not_ref_adm_mp_2a_ad
notifier_ref_adm_nll;info_ref_adm_epi
notifier_ref_adm_nll;info_ref_adm_nll_rch
notifier_ref_adm_nll;not_ref_adm_rec_at_emp
notifier_ref_adm_nll_trsf;not_ref_adm_nll
notifier_ref_adm_nll_trsf;not_ref_med_emp
notifier_ref_adm_rch;info_ref_adm_epi
notifier_ref_adm_rch;info_ref_adm_mt
notifier_ref_adm_rch;info_ref_adm_nll_rch
notifier_ref_adm_rch;not_ref_adm_rec_at_emp
notifier_ref_adm_spc;info_ref_adm_epi
notifier_ref_adm_tr;Not_ref_adm_tr_emp_apd
notifier_ref_adm_tr;info_ref_adm_mt
notifier_ref_adm_tr;not_ref_adm_tr_emp
notifier_ref_adm_tr;not_ref_adm_tr_vic
