UCD_COD;APP_DTE;UCD_TTC_MNT
9055511;11MAY2005:00:00:00;92.44
9058596;01JAN2010:00:00:00;
9058685;25MAY2011:00:00:00;4.00
9063781;01JAN2010:00:00:00;1.37
9065107;01JAN2010:00:00:00;
9076080;01JAN2010:00:00:00;0.18
9085647;01JAN2010:00:00:00;
9087959;01JAN2010:00:00:00;
9088284;01JAN2010:00:00:00;1.91
9093061;01JAN2010:00:00:00;
9106763;01JAN2010:00:00:00;1.47
9106993;01JAN2010:00:00:00;52.45
9109000;11MAY2005:00:00:00;128.65
9109827;01JAN2012:00:00:00;234.32
9109833;01JAN2010:00:00:00;294.05
9117867;01JAN2010:00:00:00;1.63
9118996;01JAN2010:00:00:00;0.39
9119659;01JAN2010:00:00:00;1.12
9120651;01JAN2010:00:00:00;26.33
9120668;01JAN2010:00:00:00;88.16
9122348;01JAN2012:00:00:00;126.81
9123201;01JAN2010:00:00:00;137.84
9124442;01JAN2010:00:00:00;2.81
9124494;01JAN2010:00:00:00;4.08
9125157;01JAN2010:00:00:00;13.44
9125163;01JAN2010:00:00:00;26.15
9125186;01JAN2010:00:00:00;47.25
9130945;01JAN2010:00:00:00;35.98
9134110;01JAN2010:00:00:00;
9136876;01JAN2010:00:00:00;3.37
9137172;01JAN2010:00:00:00;22.46
9137189;01JAN2010:00:00:00;105.16
9137551;01JAN2010:00:00:00;8.17
9137580;10FEB2011:00:00:00;512.09
9143534;11MAY2005:00:00:00;20.40
9143540;11MAY2005:00:00:00;42.31
9143557;11MAY2005:00:00:00;97.54
9143793;01JAN2010:00:00:00;3.73
9144321;01JAN2010:00:00:00;18.38
9144338;01JAN2010:00:00:00;8.17
9145332;01JAN2010:00:00:00;18.38
9145349;01JAN2010:00:00:00;18.38
9145355;01JAN2010:00:00:00;35.74
9145361;01JAN2010:00:00:00;89.85
9145378;01JAN2010:00:00:00;89.85
9145444;01JAN2010:00:00:00;4.08
9145450;01JAN2010:00:00:00;14.29
9147934;15OCT2013:00:00:00;62.99
9147940;31DEC2010:00:00:00;15.05
9147957;15OCT2013:00:00:00;25.19
9149063;01JAN2010:00:00:00;1.63
9149086;01JAN2010:00:00:00;1.33
9149092;01JAN2010:00:00:00;2.76
9149100;01JAN2010:00:00:00;2.35
9149117;01JAN2010:00:00:00;4.59
9149123;01JAN2010:00:00:00;3.37
9149347;01JAN2010:00:00:00;22.86
9149821;01JAN2010:00:00:00;3.68
